Amphora Type,Period,Region,Content,Amphora Vol. [L],Sq. Unit Width [m],Sq. Unit Height [m],Sq. Unit Volume [m^3],Sq. Pack. Eff. (Auto),Hex. Unit Side Length [m],Hex. Unit Height [m],Hex. Pack. Unit Volume [m^3],Hex. Pack. Eff. (Auto)
Africana 1 Piccolo,Middle,Central,Oil,42.5,0.29552,1.76435,0.154084338,0.551645942,0.29666,1.79343,0.410066509,0.621850344
Africana 2A Grande,Middle,Central,Wine,77.9,0.447,1.2,0.2397708,0.649787213,0.447,1.428,0.741301946,0.630512307
Almagro 50,"Middle, Late",West,Fish sauce,18.87,0.214,1.58,0.07235768,0.521575595,0.214,1.682,0.20012688,0.565741094
Almagro 51A-B,"Middle, Late",West,Fish sauce,16.581294,0.239,1.035,0.059120235,0.560934644,0.239,1.189,0.176453202,0.563819546
Cretoise 1,Early,East,Wine,22.775,0.276,0.989,0.075338064,0.60460805,0.276,1.138,0.225222779,0.60673259
Dressel 20,Early,West,Oil,76.151747,0.541,0.84,0.24585204,0.619492496,0.540,1.3,0.98487873,0.463925627
Gauloise 4,Early,West,Wine,34.9080618,0.412,0.696,0.118141824,0.5909518,0.412,1.01,0.445417927,0.470228875
Kapitan 2,Middle,East,Wine,12.629,0.259,0.79,0.05299399,0.476620085,0.259,1.055,0.183867036,0.412113024
Late Roman 1,Late,East,"Oil, wine",24.359309,0.313,0.813,0.079648797,0.61166797,0.313,1.0295,0.262039591,0.557762488
Mid-Roman 1 (/Agora M254),Middle,Central,Wine,19.80925,0.328,0.554,0.059601536,0.664722802,0.328,0.827,0.231155954,0.51417884
