Status as of 9/9/21 according to J.V.,Amphora Type,Period,Region,Content,Model Creation (Initials & Date),Model Check 1 (Initials & Date),Model Check 2 (Initials & Date),Amphora Vol. [L],Sq. Unit Width [m],Sq. Unit Height [m],Sq. Unit Volume [m^3],Sq. Pack. Eff. (Auto),Hex. Unit Side Length [m],Hex. Unit Height [m],Hex. Pack. Unit Volume [m^3],Hex. Pack. Eff. (Auto)
Reg sq and reg hex done,Africana 1 Piccolo,Middle,Central,Oil,"C.W., 7/14/21",S.C. 7/21/21,J.V. 7/24/21,42.5,0.29552,1.76435,0.154084338,0.551645942,0.29666,1.79343,0.410066509,0.621850344
Reg sq and reg hex done,Africana 2A Grande,Middle,Central,Wine,"U.P., 7/13/21 ",C.W. 7/20/21,J.V. 7/24/21,77.9,0.447,1.2,0.2397708,0.649787213,0.447,1.428,0.741301946,0.630512307
Reg sq and reg hex done,Almagro 50,"Middle, Late",West,Fish sauce,U.P. 7/27/21,J.V. 8/11/21,,18.87,0.214,1.58,0.07235768,0.521575595,0.214,1.682,0.20012688,0.565741094
Reg sq and reg hex done,Almagro 51A-B,"Middle, Late",West,Fish sauce,"U.P., 7/13/21",J.V. 8/2/21,,16.581294,0.239,1.035,0.059120235,0.560934644,0.239,1.189,0.176453202,0.563819546
"Reg sq and reg hex done, spaced rect and hex done",Cretoise 1,Early,East,Wine,"U.P., 7/13/21",J.V. 8/2/21,,22.775,0.276,0.989,0.075338064,0.60460805,0.276,1.138,0.225222779,0.60673259
Reg sq and reg hex done,Dressel 1A,Early,Central,Wine,S.C. 7/28/21,J.V. 8/27/21 (reg sq) 9/8/21 (reg hex),,21.75987,0.284,1.532,0.123564992,0.352201212,0.284,1.723,0.361055399,0.361604397
"Reg sq and reg hex done, spaced rect and hex done",Dressel 20,Early,West,Oil,E.W.,"U.P., 7/18/21","JV has a question, see comment.",76.151747,0.541,0.84,0.24585204,0.619492496,0.540,1.3,0.98487873,0.463925627
Reg sq and reg hex done,Gauloise 4,Early,West,Wine,C.W. 7.20/21,J.V. 8/13/21,,34.9080618,0.412,0.696,0.118141824,0.5909518,0.412,1.01,0.445417927,0.470228875
Reg sq and reg hex done,Kapitan 2,Middle,East,Wine,"U.P., 7/13/21",J.V. 8/11/21,,12.629,0.259,0.79,0.05299399,0.476620085,0.259,1.055,0.183867036,0.412113024
Reg sq and reg hex done,Late Roman 1,Late,East,"Oil, wine","S.C., 7/13/21","U.P., 7/15/21",C.W. 7/20/21,24.359309,0.313,0.813,0.079648797,0.61166797,0.313,1.0295,0.262039591,0.557762488
Reg sq and reg hex done,Late Roman 2,Late,East,"Oil, wine",C.W. 8/2/21,J.V. 9/11/21,,77.177,0.539,0.819,0.237936699,0.648718759,0.53809,0.98388,0.740122933,0.625655522
Reg sq and reg hex done,Late Roman 3,Late,East,Wine,S.C. 7/26/21,J.V. 8/27/21,,4.444057,0.181,0.438,0.014349318,0.619410205,0.181,0.631,0.053707928,0.496469388
Reg sq and reg hex done,Mid-Roman 1 (/Agora M254),Middle,Central,Wine,"U.P., 7/13/21",J.V. 8/13/21,,19.80925,0.328,0.554,0.059601536,0.664722802,0.328,0.827,0.231155954,0.51417884
