label,avg_dist,std_dist
83-2,9.99E+00,7.85E+00
84-1,5.62E+00,4.20E+00
84-3,4.41E+00,3.69E+00
84-10,3.98E+00,3.02E+00
86-38,7.82E+00,5.58E+00
86-75,3.85E+00,2.83E+00
86-85,6.78E+00,4.65E+00
86-92,5.56E+00,3.95E+00
86-95,4.46E+00,3.55E+00
86-96,4.31E+00,3.39E+00
86-99,6.45E+00,6.56E+00
86-100,4.30E+00,3.06E+00
86-113,5.16E+00,3.74E+00
C,1.41E+01,1.02E+01
D,9.13E+00,6.42E+00
F,6.93E+00,5.22E+00
UN16,5.17E+00,4.51E+00
W1,1.17E+01,8.83E+00
W8,4.92E+00,4.49E+00
W43,4.83E+00,4.24E+00
W55,5.31E+00,4.90E+00
W63,6.32E+00,3.88E+00
W69,4.67E+00,3.52E+00
W70,7.40E+00,5.49E+00
X5,2.86E+00,2.98E+00
X12,7.34E+00,4.69E+00
Y2,8.28E+00,6.53E+00
Y7,4.06E+00,3.83E+00
Y11,8.10E+00,5.44E+00
Y12,6.11E+00,5.09E+00
Y14,3.99E+00,3.08E+00
Y15,4.37E+00,3.10E+00
Y22,5.00E+00,3.39E+00
Y28,7.93E+00,5.97E+00
Y32,4.41E+00,3.71E+00
Y34,6.69E+00,4.96E+00
Y39,4.37E+00,4.81E+00
Y45,5.02E+00,4.45E+00
Y52,8.32E+00,6.10E+00
Y114,4.90E+00,4.50E+00
Y123,4.64E+00,3.81E+00
Y126,5.57E+00,4.30E+00
Y127,6.89E+00,5.56E+00
Y128,4.43E+00,3.71E+00
