label,avg_dist,std_dist
83-2,8.73E+00,7.49E+00
84-1,4.46E+00,6.39E+00
84-3,5.60E+00,8.45E+00
84-10,5.76E+00,8.56E+00
86-38,8.49E+00,8.18E+00
86-45,7.62E+00,1.06E+01
86-75,5.53E+00,8.40E+00
86-85,7.20E+00,7.65E+00
86-92,8.53E+00,8.96E+00
86-93,4.94E+00,9.07E+00
86-95,6.44E+00,8.43E+00
86-96,5.19E+00,9.33E+00
86-99,7.20E+00,9.53E+00
86-100,8.24E+00,9.20E+00
86-113,7.53E+00,8.60E+00
C,1.61E+01,1.22E+01
D,1.15E+01,1.11E+01
F,8.78E+00,8.81E+00
UN16,5.96E+00,7.95E+00
W1,1.13E+01,9.00E+00
W8,7.72E+00,1.02E+01
W43,6.18E+00,7.43E+00
W55,5.93E+00,8.13E+00
W63,1.00E+01,1.05E+01
W69,6.06E+00,8.43E+00
W70,7.96E+00,8.03E+00
X5,7.31E+00,1.05E+01
X12,7.26E+00,8.53E+00
Y2,7.50E+00,8.82E+00
Y7,4.75E+00,8.42E+00
Y11,8.09E+00,8.60E+00
Y12,9.22E+00,9.50E+00
Y14,5.80E+00,8.06E+00
Y15,6.10E+00,9.15E+00
Y22,5.65E+00,8.33E+00
Y28,7.96E+00,7.44E+00
Y32,5.59E+00,8.40E+00
Y34,7.96E+00,9.25E+00
Y39,6.28E+00,9.42E+00
Y45,5.53E+00,8.01E+00
Y52,7.78E+00,8.84E+00
Y123,5.68E+00,7.92E+00
Y126,5.76E+00,6.81E+00
Y127,6.40E+00,7.78E+00
Y128,6.05E+00,9.57E+00
