label,group,capacity,diameter
83-2,Spiral combed - main group - ring lip,0,40.7
84-1,Spiral combed - main group,0,41.8
84-3,Spiral combed - main group,0,42
84-10,Spiral combed - main group,35.314,41.8
86-38,Spiral combed - main group - ring lip,0,41.1
86-45,Spiral combed - main group,0,41.1
86-75,Spiral combed - main group,0,41.8
86-85,Spiral combed - main group,33.0345,41.3
86-92,Spiral combed - main group,33.935,40.9
86-93,Spiral combed - main group,36.455,42.3
86-95,Spiral combed - main group,35.431,43
86-96,Wide band of combing/squared handles,0,42.5
86-99,Spiral combed - main group,36.1375,41.1
86-100,Spiral combed - main group,35.96,41.4
86-113,Spiral combed - main group,0,42
C,"Spiral combed - massive neck, massive diagonal handles",43.023,44.8
D,"Spiral combed - massive neck, massive diagonal handles",40.071,42.7
F,Spiral combed - outlier?,39.615,42.7
UN16,Spiral combed - main group,0,42.7
W1,Spiral combed - main group,0,40.9
W8,Wide band of combing/squared handles,0,43.3
W43,Spiral combed - main group,35.645,42.8
W55,Spiral combed - main group,36.968,42.3
W63,"Spiral combed - massive neck, massive vertical handles",0,42.9
W69,Spiral combed - main group,0,41
W70,Spiral combed - main group,0,43.1
X5,Wide band of combing/squared handles,0,42.3
X12,Wide band of combing/squared handles,0,43.6
Y2,Wide band of combing/squared handles,0,43.5
Y7,Spiral combed - main group,36.7325,42.2
Y11,Spiral combed - main group,33.7425,41.1
Y12,Wide band of combing/squared handles,0,44
Y14,Spiral combed - main group,0,41.9
Y15,Spiral combed - main group,35.0575,41.9
Y22,Spiral combed - main group,34.2705,41.1
Y28,Spiral combed - main group - ring lip,32.5,40.2
Y32,Spiral combed - main group,0,42.4
Y34,Wide band of combing/squared handles,0,43.7
Y39,"Spiral combed - massive neck, massive vertical handles",37.51625,42.9
Y45,Spiral combed - main group,0,42.6
Y52,Spiral combed - main group,0,40.4
Y123,Spiral combed - main group,0,42.2
Y126,Spiral combed - main group,37.2415,43.1
Y127,Spiral combed - main group,38.2525,42.8
Y128,Spiral combed - main group,36.3445,41.5
